State Name,Temperature ⁰C,pH,Conductivity (μmhos/cm),Nitrate N (mg/L),Faecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Total Dissolved Solids (mg/L),Fluoride (mg/L)
ASSAM,28.0,7.1,314.0,0.7,2.0,2.0,174.0,0.3
ASSAM,26.0,7.2,328.0,0.8,2.0,2.0,186.0,0.3
ASSAM,24.5,7.4,262.0,0.95,2.0,2.0,152.0,0.3
ASSAM,27.5,7.4,320.0,0.75,2.0,2.0,178.0,0.3
ASSAM,22.0,7.1,247.0,0.8,2.9,5.1,144.0,0.3
ASSAM,22.0,7.3,260.0,0.7,2.9,4.5,150.0,0.3
ASSAM,24.0,7.4,195.0,0.9,2.0,2.0,114.0,0.3
ASSAM,25.5,7.2,229.0,0.95,2.0,2.0,132.5,0.3
ASSAM,27.0,7.9,412.0,0.9,2.0,2.0,230.0,0.3
ASSAM,23.5,7.25,270.0,0.8,2.0,2.0,156.0,0.3
ASSAM,24.0,7.15,263.0,0.7,2.0,2.0,150.0,0.3
ASSAM,31.5,7.5,305.0,0.8,2.0,2.0,170.0,0.45
ASSAM,29.5,7.4,340.0,0.95,2.0,2.0,188.0,0.3
ASSAM,26.0,6.85,235.5,0.75,2.0,2.0,135.0,0.3
ASSAM,22.0,7.2,205.0,0.8,243.2,593.6,120.0,0.3
ASSAM,28.0,7.95,391.0,1.25,2.0,2.0,216.0,0.5
ASSAM,25.5,7.2,286.5,0.75,2.0,2.0,163.0,0.3
ASSAM,26.0,7.4,265.0,0.9,2.9,4.5,154.0,0.3
ASSAM,20.0,7.5,91.0,0.6,2.0,2.0,62.0,0.3
ASSAM,26.0,7.5,367.0,0.8,2.0,2.0,204.0,0.3
ASSAM,27.5,6.9,351.5,0.9,2.0,2.0,206.0,0.3
ASSAM,26.5,7.3,391.0,0.9,2.0,2.0,214.0,0.25
BIHAR,24.0,7.3,927.0,2.79,8.6,14.9,594.0,0.2
BIHAR,25.5,7.55,460.5,1.96,811.5,811.5,291.0,0.25
BIHAR,24.5,7.4,444.0,1.91,7011.5,7019.9,291.0,0.25
BIHAR,26.5,7.5,459.5,1.56,462.5,464.5,310.0,0.25
BIHAR,28.0,7.45,488.0,1.58,7.0,12.5,313.0,0.3
BIHAR,24.0,7.5,641.0,2.58,7.0,16.0,416.0,0.2
BIHAR,26.0,7.0,1160.0,0.34,9.0,16.0,742.0,0.3
BIHAR,28.0,7.6,296.0,2.39,10.9,13.0,192.0,0.2
BIHAR,24.5,7.35,748.0,3.38,350.0,920.0,482.0,0.3
BIHAR,25.0,7.6,345.0,0.3,3.0,3.0,218.0,0.2
BIHAR,21.0,7.45,830.5,1.89,23.0,33.0,509.0,0.25
BIHAR,21.0,7.7,828.0,0.3,23.0,23.0,544.0,0.2
BIHAR,25.0,7.2,968.0,0.39,23.0,23.0,636.0,0.2
BIHAR,22.0,7.9,383.0,0.3,23.0,23.0,250.0,0.2
BIHAR,20.0,7.7,785.0,4.82,23.0,23.0,524.0,0.3
BIHAR,20.0,7.4,238.0,1.12,23.0,23.0,156.0,0.2
BIHAR,26.0,7.9,435.5,0.61,35000.0,35000.0,292.0,0.25
BIHAR,20.0,7.0,877.0,0.3,3.3,21.3,574.0,0.2
BIHAR,22.0,7.3,392.5,1.2,23.0,23.0,252.0,0.25
BIHAR,25.5,7.85,965.0,2.1,33.0,49.0,629.0,0.25
BIHAR,22.0,7.9,571.0,0.36,23.0,23.0,378.0,0.2
BIHAR,24.0,7.2,774.0,1.37,24.8,72.2,500.0,0.2
BIHAR,23.0,7.8,1040.0,0.98,23.0,23.0,732.0,0.3
BIHAR,24.0,7.9,232.0,0.3,23.0,23.0,154.0,0.2
BIHAR,21.0,7.2,1280.0,2.57,23.0,23.0,908.0,0.2
BIHAR,22.0,7.5,1110.0,4.37,23.0,23.0,780.0,0.2
BIHAR,24.0,7.4,935.0,0.3,23.0,23.0,612.0,0.2
BIHAR,25.0,7.9,269.0,0.3,23.0,23.0,172.0,0.2
BIHAR,25.5,7.9,900.5,3.96,23.0,23.0,585.0,0.25
BIHAR,22.0,7.75,827.5,1.25,177.5,273.5,551.0,0.25
BIHAR,22.0,6.85,1380.0,1.35,7.0,9.0,911.0,0.3
BIHAR,26.0,7.0,713.0,1.84,2.4,5.2,467.0,0.25
BIHAR,20.0,7.6,299.0,0.3,23.0,23.0,194.0,0.2
BIHAR,24.5,7.8,292.5,3.0,23.0,23.0,193.0,0.2
BIHAR,24.0,7.3,448.0,0.3,23.0,23.0,292.0,0.2
BIHAR,22.0,6.9,1245.0,0.3,16.0,76.5,810.0,0.25
BIHAR,26.0,7.75,741.0,3.15,72.6,187.9,491.0,0.2
BIHAR,26.5,7.6,455.5,1.8,12.5,12.5,304.0,0.25
BIHAR,20.0,7.1,1030.0,0.3,12.0,23.0,678.0,0.2
BIHAR,22.5,7.05,1313.5,2.56,23.0,23.0,865.0,0.2
BIHAR,23.0,7.1,583.0,5.53,23.0,23.0,374.0,0.2
BIHAR,26.0,7.4,914.0,1.82,14.0,14.0,599.0,0.2
BIHAR,26.5,7.05,571.5,1.52,10.4,10.4,370.0,0.2
BIHAR,28.0,7.1,1620.0,1.62,23.0,23.0,1018.0,0.2
BIHAR,25.5,7.7,447.5,2.68,19.5,69.9,287.0,0.2
BIHAR,21.0,7.15,501.5,1.05,23.0,23.0,330.0,0.25
BIHAR,28.5,7.4,511.0,2.28,5.0,6.0,377.0,0.25
BIHAR,25.0,7.65,797.0,2.38,23.0,23.0,518.0,0.2
BIHAR,20.0,8.1,352.0,0.3,7.0,7.0,228.0,0.2
BIHAR,23.0,7.65,359.0,1.1,23.0,49.0,240.0,0.25
BIHAR,24.5,7.1,1155.5,3.78,23.0,23.0,769.0,0.25
BIHAR,27.0,7.2,1170.0,5.3,23.0,23.0,758.0,0.2
BIHAR,22.0,7.1,1330.0,2.85,23.0,23.0,898.0,0.2
BIHAR,24.0,7.65,323.0,1.49,51.0,51.0,213.0,0.25
BIHAR,21.0,7.2,257.0,0.3,8.0,11.8,172.0,0.2
BIHAR,26.5,7.3,629.0,3.32,27.0,27.0,413.0,0.2
BIHAR,26.0,7.95,641.5,2.51,5.0,7.0,428.0,0.2
BIHAR,27.0,7.55,668.5,2.1,23.0,23.0,435.0,0.25
BIHAR,27.0,7.55,783.5,2.58,23.0,12.5,266.0,0.2
BIHAR,25.0,7.3,486.0,1.14,23.0,23.0,326.0,0.2
BIHAR,21.0,7.1,1440.0,2.59,17.4,54.1,1002.0,0.2
BIHAR,25.0,7.8,944.0,5.34,23.0,23.0,648.0,0.2
BIHAR,24.0,8.2,312.0,0.3,12.0,23.0,202.0,0.2
BIHAR,21.0,8.7,480.0,5.12,6.2,9.2,322.0,0.2
BIHAR,24.0,7.0,1120.0,0.75,23.0,23.0,732.0,0.2
BIHAR,22.0,6.95,818.0,1.67,42.7,63.0,550.0,0.2
BIHAR,24.0,7.8,2080.0,5.69,5.0,9.0,1476.0,0.2
BIHAR,21.0,7.9,241.0,0.3,23.0,23.0,160.0,0.2
BIHAR,20.0,7.9,735.0,0.88,7.0,9.0,482.0,0.2
CHANDIGARH,25.65,7.15,759.0,6.65,2.0,37.0,454.0,0.5
CHANDIGARH,25.65,7.15,804.0,3.55,2.0,56.0,497.0,0.2
CHANDIGARH,25.7,7.3,902.5,3.0,3.5,49.0,500.0,0.3
CHANDIGARH,25.65,7.25,527.5,5.65,2.0,37.5,343.0,0.2
CHANDIGARH,25.55,7.05,712.5,3.25,2.0,25.0,425.0,0.45
CHANDIGARH,25.4,7.0,846.0,3.6,2.0,50.5,442.0,0.25
CHANDIGARH,25.8,7.15,621.5,2.35,2.0,28.5,358.0,0.9
CHHATTISGARH,26.2,7.2,2302.0,1.05,2.0,2.0,164.0,0.27999999999999997
CHHATTISGARH,26.05,7.15,25477.0,0.74,2.0,2.0,270.5,0.72
CHHATTISGARH,26.2,6.9,4898.0,0.64,2.0,2.0,249.0,0.72
CHHATTISGARH,27.4,7.5,378.0,0.3,50.8,224.4,310.0,0.35
CHHATTISGARH,27.3,7.4,348.0,0.3,2.0,2.0,248.0,0.32999999999999996
CHHATTISGARH,28.0,7.4,256.0,1.246,3.8,7.6,191.0,0.22000000000000003
CHHATTISGARH,25.0,7.35,258.5,3.1559999999999997,3.8,7.6,191.5,0.22000000000000003
CHHATTISGARH,25.0,7.35,520.7,0.6,2.0,2.0,150.0,0.41
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",28.2,7.15,440.0,3.72,22.5,50.0,286.5,0.2
"DAMAN AND DIU,
DADRA AND NAGAR HAVELI",28.2,6.9,824.5,3.78,2.0,6.0,580.0,0.35
"DAMAN AND DIU,
DADRA AND NAGAR HAVELI",28.4,7.2,583.0,0.32,2.0,7.0,387.0,0.85
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",28.75,7.05,1222.0,1.72,2.0,7.0,806.5,0.35
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",27.9,7.25,746.0,1.98,2.0,6.5,480.0,0.6
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",27.25,7.2,400.0,1.08,2.0,6.0,300.0,0.5
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",28.95,7.25,446.0,3.6,10.0,24.5,289.0,0.2
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",29.25,6.85,489.0,2.4,8.5,11.0,329.5,0.35
"DAMAN AND DIU,
DADRA AND NAGAR HAVELI",27.6,7.15,2856.0,4.92,2.0,4.0,1924.0,0.75
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",28.6,7.6,2092.5,1.76,2.0,7.0,1304.5,0.4
"DAMAN AND DIU, DADRA AND
NAGAR HAVELI",27.3,7.25,3108.5,2.05,2.0,9.0,2159.5,0.3
DELHI,22.4,7.4,333.9,0.3,5.0,9.2,669.0,0.49000000000000005
DELHI,25.4,7.5,638.5,0.48,2.0,2.0,675.0,0.5
DELHI,26.4,7.1,450.3,0.76,2.0,2.0,461.0,1.0699999999999998
DELHI,22.4,7.4,333.9,0.3,5.0,9.2,346.0,0.49000000000000005
DELHI,22.1,6.7,361.7,0.47,2.0,2.0,288.0,0.31
DELHI,20.6,7.2,250.3,0.3,5.0,9.2,559.0,0.33
DELHI,20.9,6.7,345.6,0.3,2.0,2.0,577.0,0.31
DELHI,22.6,7.3,461.5,0.76,2.0,2.0,590.0,0.43
