State Name,Temp,pH,Conductivity,Nitrate,Fecal_Coliform,Total_Coliform,TDS,Fluoride,WQI,WQI_Classification,WQI_Class_Encoded
ASSAM,24.5,7.35,395.0,1.05,112.94,386.1,232.0,0.29,28.22962362645725,Good,1
ASSAM,19.5,7.1,342.0,1.7,525.3,734.5,206.0,0.28,25.61176858531438,Good,1
ASSAM,32.0,7.4,158.0,0.9,106.15,202.4,120.0,0.32,30.9161492101178,Good,1
ASSAM,28.0,6.9,328.5,0.8500000000000001,543.15,763.98,197.0,0.3,27.30528959810875,Good,1
ASSAM,27.5,7.300000000000001,345.0,0.9,525.3,734.5,204.0,0.325,30.87865720025569,Good,1
ASSAM,26.5,7.0,329.0,0.8500000000000001,543.15,763.98,195.0,0.3,26.620207185543684,Good,1
ASSAM,29.0,6.85,334.0,1.05,525.3,734.5,198.0,0.295,27.225429945514875,Good,1
ASSAM,28.0,6.9,264.0,1.6,28.32,122.5,188.0,0.33,29.89153096115017,Good,1
ASSAM,14.0,7.0,113.0,1.0,495.3,580.0,72.0,0.28,24.627727807709093,Excellent,0
ASSAM,23.0,6.85,129.0,1.05,178.9,226.7,88.0,0.315,28.7345272882233,Good,1
ASSAM,24.0,6.95,184.0,0.8500000000000001,282.9,649.8,119.0,0.295,26.35880868312381,Good,1
ASSAM,22.5,7.0,154.0,0.8500000000000001,105.6,204.2,101.0,0.28,24.67116828498666,Excellent,0
ASSAM,23.5,7.45,266.0,0.95,33.22,94.78,153.0,0.305,30.067239166387647,Good,1
ASSAM,26.0,6.85,262.0,1.2000000000000002,31.42,78.28,166.0,0.3,27.587468419931216,Good,1
ASSAM,26.5,6.9,278.0,1.05,73.82000000000001,181.48,169.0,0.32,29.00155313061212,Good,1
ASSAM,22.5,6.95,242.5,0.95,167.8,343.4,151.0,0.29,25.99445243458233,Good,1
ASSAM,22.5,7.45,425.0,1.05,113.7,229.4,249.0,0.29,28.94953733296808,Good,1
ASSAM,24.0,6.8,194.0,1.6,204.8,142.8,132.0,0.33,30.488923893302488,Good,1
ASSAM,23.0,6.3,176.0,1.0,238.3,296.4,122.0,0.32,32.99323095810632,Good,1
ASSAM,22.5,6.85,262.0,0.95,33.22,94.78,163.0,0.295,27.139036262543254,Good,1
ASSAM,23.0,7.1,212.0,1.4,37.5,111.4,146.0,0.31,28.07136892622693,Good,1
ASSAM,27.0,7.2,242.0,1.0,89.2,226.4,166.0,0.31,28.77508193062024,Good,1
ASSAM,26.0,7.45,300.5,0.8500000000000001,218.2,615.05,174.0,0.29,28.79392305624044,Good,1
ASSAM,26.0,7.25,343.5,0.95,525.3,734.5,200.0,0.305,28.78911045668077,Good,1
ASSAM,23.5,6.85,206.5,0.95,79.0,102.8,125.0,0.295,27.07191567994806,Good,1
ASSAM,23.5,7.1,211.0,0.8500000000000001,79.0,108.5,129.0,0.3,27.167536196592906,Good,1
ASSAM,23.5,7.0,160.0,1.05,105.6,204.2,105.0,0.305,26.870030895199832,Good,1
ASSAM,24.5,6.800000000000001,326.0,0.8,543.15,763.98,193.0,0.3,27.984179780639007,Good,1
ASSAM,24.0,6.9,272.0,0.85,74.82000000000001,181.08,166.0,0.3,27.23964376667783,Good,1
ASSAM,24.0,7.050000000000001,290.0,1.0,212.32,615.3,175.0,0.315,28.23409708905326,Good,1
ASSAM,26.5,7.21,345.0,1.6,525.3,734.5,203.0,0.32,29.855506853762723,Good,1
ASSAM,27.0,7.15,354.5,1.35,532.5,829.4,214.0,0.295,27.26384462606155,Good,1
ASSAM,25.0,6.9,298.0,1.1,218.2,615.3,183.0,0.315,28.59139982142676,Good,1
ASSAM,27.0,7.15,281.0,1.0,73.82000000000001,181.08,161.0,0.31,28.468740044034544,Good,1
ASSAM,26.0,7.0,209.0,1.1,79.0,146.7,138.0,0.305,26.93125462920688,Good,1
ASSAM,23.5,7.050000000000001,241.5,1.1,130.4,259.3,149.0,0.29,25.999251844073104,Good,1
ASSAM,23.0,7.7,258.0,0.8500000000000001,58.5,163.0,147.0,0.305,31.765241885571086,Good,1
ASSAM,24.0,7.1,282.0,1.05,70.12,138.07999999999998,175.0,0.3,27.261113901317994,Good,1
ASSAM,25.5,6.800000000000001,269.0,0.9,74.82000000000001,181.08,168.0,0.31,28.79766459684047,Good,1
ASSAM,26.0,7.3,273.5,1.0499999999999998,74.82000000000001,181.08,164.0,0.295,28.18215878306395,Good,1
ASSAM,22.0,7.0,142.0,0.7,143.5,226.7,88.0,0.3,26.394932476993475,Good,1
ASSAM,26.0,7.35,273.0,0.8,74.82000000000001,181.08,158.0,0.285,27.638024178410905,Good,1
ASSAM,24.0,7.3,249.0,0.95,145.4,309.7,142.0,0.28,26.836579865867147,Good,1
ASSAM,25.0,7.300000000000001,194.5,1.1,253.9,575.2,121.0,0.3,28.5292513874938,Good,1
ASSAM,21.0,6.9,186.0,1.4,253.9,579.2,126.0,0.34,30.65878103471017,Good,1
ASSAM,21.0,6.8,196.0,1.2,71.4,142.8,134.0,0.33,30.47431437007275,Good,1
ASSAM,25.0,6.8,287.5,0.95,212.32,138.07999999999998,173.0,0.29,27.073100503251865,Good,1
BIHAR,20.5,7.154999999999999,497.5,3.116,177.25,463.9,354.0,0.44,10.33333333333329,Excellent,2
BIHAR,29.0,7.25,420.5,1.6369999999999998,79.0,130.0,297.0,0.575,16.666666666666664,Excellent,2
BIHAR,20.5,7.18,475.0,1.915,476.5,824.5,320.0,0.385,11.999999999999982,Excellent,2
BIHAR,26.0,7.19,518.5,1.991,22.0,130.0,380.0,0.655,12.666666666666693,Excellent,2
BIHAR,25.5,7.355,483.5,3.068,47.45,118.98,350.0,0.5,23.666666666666693,Excellent,2
BIHAR,28.0,7.15,1023.0,0.31,130.0,150.0,704.0,0.62,56.41800419038343,Poor,3
BIHAR,28.0,6.93,1045.0,1.4300000000000002,260.0,940.0,664.0,0.6,4.666666666666686,Excellent,2
BIHAR,25.5,7.305,1045.0,2.602,7.8,13.75,667.0,0.39,20.333333333333314,Excellent,2
BIHAR,25.5,7.26,904.5,2.688,218.3,51.620000000000005,604.0,0.27,17.33333333333332,Excellent,2
BIHAR,24.5,6.94,655.0,0.42,32.760000000000005,75.41,429.0,0.23,21.29815846345844,Excellent,0
BIHAR,23.5,7.265000000000001,431.0,3.205,350.0,540.0,310.0,0.41,38.28107909982853,Good,1
BIHAR,23.0,7.13,516.5,2.23,920.0,1600.0,389.0,0.745,66.67747630860703,Poor,3
BIHAR,24.0,7.58,762.5,2.755,2400.0,3500.0,593.0,0.915,84.93649070607454,Very Poor,5
BIHAR,23.5,7.065,1160.0,3.315,71.5,191.5,902.0,0.65,58.78714881441573,Poor,3
BIHAR,23.0,7.42,416.5,0.41,191.5,839.5,288.0,0.95,86.35357717204924,Very Poor,5
BIHAR,26.5,7.18,958.0,3.777,13.0,23.0,636.0,0.29,11.999999999999982,Excellent,2
BIHAR,26.5,7.18,1113.0,0.88,33.0,240.0,864.0,0.61,55.91804223865908,Poor,3
BIHAR,27.5,7.625,456.5,1.255,176.3,365.32,329.0,0.74,69.50975950953237,Poor,3
